Kalem,31.03.2023,31.12.2022
Nakit ve Nakit Benzerleri,38.905.040,47.635.158
Finansal Yatırımlar,241.616,2.135.177
Ticari Alacaklar,17.067.008,21.417.520
İlişkili Taraflardan Ticari Alacaklar,2.840.982,3.187.872
İlişkili Olmayan Taraflardan Ticari Alacaklar,14.226.026,18.229.648
Diğer Alacaklar,63.249,40.622
İlişkili Olmayan Taraflardan Diğer Alacaklar,63.249,40.622
Türev Araçlar,2.409.802,3.597.033
Stoklar,35.411.730,36.046.008
Peşin Ödenmiş Giderler,360.056,748.787
Diğer Dönen Varlıklar,6.359.319,8.090.400
ARA TOPLAM,100.817.820,119.710.705
TOPLAM DÖNEN VARLIKLAR,100.817.820,119.710.705
Finansal Yatırımlar,71.759,66.325
Türev Araçlar,17.921,57.048
Özkaynak Yöntemiyle Değerlenen Yatırımlar,2.985.486,2.962.632
Maddi Duran Varlıklar,34.581.800,32.904.315
Kullanım Hakkı Varlıkları,240.747,219.531
Maddi Olmayan Duran Varlıklar,594.299,556.630
Şerefiye,599,599
Diğer Maddi Olmayan Duran Varlıklar,593.700,556.031
Peşin Ödenmiş Giderler,641.990,618.384
Ertelenmiş Vergi Varlığı,8.359.756,9.195.612
Diğer Duran Varlıklar,2.784.228,2.601.153
TOPLAM DURAN VARLIKLAR,50.277.986,49.181.630
TOPLAM VARLIKLAR,151.095.806,168.892.335
Kısa Vadeli Borçlanmalar,946.067,863.318
Uzun Vadeli Borçlanmaların Kısa Vadeli Kısımları,9.559.826,11.131.173
Ticari Borçlar,40.623.174,52.698.764
İlişkili Taraflara Ticari Borçlar,798.995,1.156.421
İlişkili Olmayan Taraflara Ticari Borçlar,39.824.179,51.542.343
Çalışanlara Sağlanan Faydalar Kapsamında Borçlar,330.105,417.647
Diğer Borçlar,107.476,262.395
İlişkili Taraflara Diğer Borçlar,0,169.841
İlişkili Olmayan Taraflara Diğer Borçlar,107.476,92.554
Türev Araçlar,714.062,994.512
Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),201.905,116.249
Dönem Karı Vergi Yükümlülüğü,2.990.569,955.255
Kısa Vadeli Karşılıklar,1.174.578,530.528
Çalışanlara Sağlanan Faydalara İlişkin Kısa Vadeli Karşılıklar,180.501,47.604
Diğer Kısa Vadeli Karşılıklar,994.077,482.924
Diğer Kısa Vadeli Yükümlülükler,11.577.303,10.925.569
ARA TOPLAM,68.225.065,78.895.410
TOPLAM KISA VADELİ YÜKÜMLÜLÜKLER,68.225.065,78.895.410
Uzun Vadeli Borçlanmalar,20.032.731,21.274.459
Türev Araçlar,0,298.200
Ertelenmiş Gelirler (Müşteri Sözleşmelerinden Doğan Yükümlülüklerin Dışında Kalanlar),11.410,3.199
Uzun Vadeli Karşılıklar,1.288.281,1.190.116
Çalışanlara Sağlanan Faydalara İlişkin Uzun Vadeli Karşılıklar,1.288.281,1.190.116
Ertelenmiş Vergi Yükümlülüğü,44.464,44.464
Diğer Uzun Vadeli Yükümlülükler,632,715
TOPLAM UZUN VADELİ YÜKÜMLÜLÜKLER,21.377.518,22.811.153
TOPLAM YÜKÜMLÜLÜKLER,89.602.583,101.706.563
Ana Ortaklığa Ait Özkaynaklar,60.997.606,66.743.279
Ödenmiş Sermaye,275.257,275.257
Sermaye Düzeltme Farkları,1.344.243,1.344.243
Paylara İlişkin Primler (İskontolar),1.000.699,1.000.699
Kar veya Zararda Yeniden Sınıflandırılmayacak Birikmiş Diğer Kapsamlı Gelirler (Giderler),13.901.774,13.901.774
Yeniden Değerleme ve Ölçüm Kazançları (Kayıpları),13.622.714,13.622.714
Maddi Duran Varlık Yeniden Değerleme Artışları (Azalışları),13.928.679,13.928.679
Tanımlanmış Fayda Planları Yeniden Ölçüm Kazançları (Kayıpları),-305.965,-305.965
Özkaynak Yöntemi ile Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar veya Zararda Sınıflandırılmayacak Paylar,279.060,279.060
Kar veya Zararda Yeniden Sınıflandırılacak Birikmiş Diğer Kapsamlı Gelirler (Giderler),1.176.028,1.169.774
Yabancı Para Çevrim Farkları,656.930,622.209
Riskten Korunma Kazançları (Kayıpları),-467.221,-423.080
Nakit Akış Riskinden Korunma Kazançları (Kayıpları),-467.221,-423.080
Özkaynak Yöntemi ile Değerlenen Yatırımların Diğer Kapsamlı Gelirinden Kar/Zararda Sınıflandırılacak Paylar,986.319,970.645
Kardan Ayrılan Kısıtlanmış Yedekler,1.669.316,503.343
Geçmiş Yıllar Karları veya Zararları,34.882.216,7.503.568
Net Dönem Karı veya Zararı,6.748.073,41.044.621
Kontrol Gücü Olmayan Paylar,495.617,442.493
TOPLAM ÖZKAYNAKLAR,61.493.223,67.185.772
TOPLAM KAYNAKLAR,151.095.806,168.892.335
