TARİH,Ticari Alacaklar,Ticari Borçlar,Dönen Varlıklar,Kısa Vadeli Yükümlülükler,Stoklar
2021-12-31,9185761.0,5037395.0,36086743.0,19197635.0,8100964.0
2021-12-31,9185761.0,5037395.0,36086743.0,19197635.0,7687597.0
2021-12-31,9185761.0,5037395.0,36086743.0,19192852.0,8100964.0
2021-12-31,9185761.0,5037395.0,36086743.0,19192852.0,7687597.0
2021-12-31,9185761.0,5037395.0,35673376.0,19197635.0,8100964.0
2021-12-31,9185761.0,5037395.0,35673376.0,19197635.0,7687597.0
2021-12-31,9185761.0,5037395.0,35673376.0,19192852.0,8100964.0
2021-12-31,9185761.0,5037395.0,35673376.0,19192852.0,7687597.0
2021-12-31,9185761.0,5033187.0,36086743.0,19197635.0,8100964.0
2021-12-31,9185761.0,5033187.0,36086743.0,19197635.0,7687597.0
2021-12-31,9185761.0,5033187.0,36086743.0,19192852.0,8100964.0
2021-12-31,9185761.0,5033187.0,36086743.0,19192852.0,7687597.0
2021-12-31,9185761.0,5033187.0,35673376.0,19197635.0,8100964.0
2021-12-31,9185761.0,5033187.0,35673376.0,19197635.0,7687597.0
2021-12-31,9185761.0,5033187.0,35673376.0,19192852.0,8100964.0
2021-12-31,9185761.0,5033187.0,35673376.0,19192852.0,7687597.0
2022-09-30,19378626.0,9389739.0,64508192.0,36112985.0,15989089.0
2022-12-31,19840432.0,11331067.0,73609988.0,35523855.0,19251800.0
2023-03-31,20638580.0,9841357.0,73481404.0,39574466.0,22308038.0
2023-06-30,25795908.0,12260914.0,84705014.0,42877191.0,25742822.0
